"code";"classe";"groupe";"division";"industry";"section";"label_fr"
"13.99Z";"13.99";"13.9";"13";"C13T15";"C";"Fabrication d'autres textiles n.c.a."
"14.11Z";"14.11";"14.1";"14";"C13T15";"C";"Fabrication de vêtements en cuir"
"14.12Z";"14.12";"14.1";"14";"C13T15";"C";"Fabrication de vêtements de travail"
"14.13Z";"14.13";"14.1";"14";"C13T15";"C";"Fabrication de vêtements de dessus"
"14.14Z";"14.14";"14.1";"14";"C13T15";"C";"Fabrication de vêtements de dessous"
"14.19Z";"14.19";"14.1";"14";"C13T15";"C";"Fabrication d'autres vêtements et accessoires"
"14.20Z";"14.20";"14.2";"14";"C13T15";"C";"Fabrication d'articles en fourrure"
"14.31Z";"14.31";"14.3";"14";"C13T15";"C";"Fabrication d'articles chaussants à mailles"
"14.39Z";"14.39";"14.3";"14";"C13T15";"C";"Fabrication d'autres articles à mailles"
"15.11Z";"15.11";"15.1";"15";"C13T15";"C";"Apprêt et tannage des cuirs ; préparation et teinture des fourrures"
"15.12Z";"15.12";"15.1";"15";"C13T15";"C";"Fabrication d'articles de voyage, de maroquinerie et de sellerie"
"15.20Z";"15.20";"15.2";"15";"C13T15";"C";"Fabrication de chaussures"
"16.10A";"16.10";"16.1";"16";"C16";"C";"Sciage et rabotage du bois, hors imprégnation"
"16.10B";"16.10";"16.1";"16";"C16";"C";"Imprégnation du bois"
"16.21Z";"16.21";"16.2";"16";"C16";"C";"Fabrication de placage et de panneaux de bois"
"16.22Z";"16.22";"16.2";"16";"C16";"C";"Fabrication de parquets assemblés"
"16.23Z";"16.23";"16.2";"16";"C16";"C";"Fabrication de charpentes et d'autres menuiseries"
"16.24Z";"16.24";"16.2";"16";"C16";"C";"Fabrication d'emballages en bois"
"16.29Z";"16.29";"16.2";"16";"C16";"C";"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie"
"17.11Z";"17.11";"17.1";"17";"C17";"C";"Fabrication de pâte à papier"
"17.12Z";"17.12";"17.1";"17";"C17";"C";"Fabrication de papier et de carton"
"17.21A";"17.21";"17.2";"17";"C17";"C";"Fabrication de carton ondulé"
"17.21B";"17.21";"17.2";"17";"C17";"C";"Fabrication de cartonnages"
"17.21C";"17.21";"17.2";"17";"C17";"C";"Fabrication d'emballages en papier"
"17.22Z";"17.22";"17.2";"17";"C17";"C";"Fabrication d'articles en papier à usage sanitaire ou domestique"
"17.23Z";"17.23";"17.2";"17";"C17";"C";"Fabrication d'articles de papeterie"
"17.24Z";"17.24";"17.2";"17";"C17";"C";"Fabrication de papiers peints"
"17.29Z";"17.29";"17.2";"17";"C17";"C";"Fabrication d'autres articles en papier ou en carton"
"18.11Z";"18.11";"18.1";"18";"C18";"C";"Imprimerie de journaux"
"18.12Z";"18.12";"18.1";"18";"C18";"C";"Autre imprimerie (labeur)"
"18.13Z";"18.13";"18.1";"18";"C18";"C";"Activités de pré-presse"
"18.14Z";"18.14";"18.1";"18";"C18";"C";"Reliure et activités connexes"
"18.20Z";"18.20";"18.2";"18";"C18";"C";"Reproduction d'enregistrements"
"19.10Z";"19.10";"19.1";"19";"C19";"C";"Cokéfaction"
"19.20Z";"19.20";"19.2";"19";"C19";"C";"Raffinage du pétrole"
"20.11Z";"20.11";"20.1";"20";"C20";"C";"Fabrication de gaz industriels"
"20.12Z";"20.12";"20.1";"20";"C20";"C";"Fabrication de colorants et de pigments"
"20.13A";"20.13";"20.1";"20";"C20";"C";"Enrichissement et retraitement de matières nucléaires"
"20.13B";"20.13";"20.1";"20";"C20";"C";"Fabrication d'autres produits chimiques inorganiques de base n.c.a."
"20.14Z";"20.14";"20.1";"20";"C20";"C";"Fabrication d'autres produits chimiques organiques de base"
"20.15Z";"20.15";"20.1";"20";"C20";"C";"Fabrication de produits azotés et d'engrais"
"20.16Z";"20.16";"20.1";"20";"C20";"C";"Fabrication de matières plastiques de base"
"20.17Z";"20.17";"20.1";"20";"C20";"C";"Fabrication de caoutchouc synthétique"
"20.20Z";"20.20";"20.2";"20";"C20";"C";"Fabrication de pesticides et d'autres produits agrochimiques"
"20.30Z";"20.30";"20.3";"20";"C20";"C";"Fabrication de peintures, vernis, encres et mastics"
"20.41Z";"20.41";"20.4";"20";"C20";"C";"Fabrication de savons, détergents et produits d'entretien"
"20.42Z";"20.42";"20.4";"20";"C20";"C";"Fabrication de parfums et de produits pour la toilette"
"20.51Z";"20.51";"20.5";"20";"C20";"C";"Fabrication de produits explosifs"
"20.52Z";"20.52";"20.5";"20";"C20";"C";"Fabrication de colles"
"20.53Z";"20.53";"20.5";"20";"C20";"C";"Fabrication d'huiles essentielles"
"20.59Z";"20.59";"20.5";"20";"C20";"C";"Fabrication d'autres produits chimiques n.c.a."
"20.60Z";"20.60";"20.6";"20";"C20";"C";"Fabrication de fibres artificielles ou synthétiques"
"21.10Z";"21.10";"21.1";"21";"C21";"C";"Fabrication de produits pharmaceutiques de base"
"21.20Z";"21.20";"21.2";"21";"C21";"C";"Fabrication de préparations pharmaceutiques"
"22.11Z";"22.11";"22.1";"22";"C22";"C";"Fabrication et rechapage de pneumatiques"
"22.19Z";"22.19";"22.1";"22";"C22";"C";"Fabrication d'autres articles en caoutchouc"
"22.21Z";"22.21";"22.2";"22";"C22";"C";"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
"22.22Z";"22.22";"22.2";"22";"C22";"C";"Fabrication d'emballages en matières plastiques"
"22.23Z";"22.23";"22.2";"22";"C22";"C";"Fabrication d'éléments en matières plastiques pour la construction"
"22.29A";"22.29";"22.2";"22";"C22";"C";"Fabrication de pièces techniques à base de matières plastiques"
"22.29B";"22.29";"22.2";"22";"C22";"C";"Fabrication de produits de consommation courante en matières plastiques"
"23.11Z";"23.11";"23.1";"23";"C23";"C";"Fabrication de verre plat"
"23.12Z";"23.12";"23.1";"23";"C23";"C";"Façonnage et transformation du verre plat"
"23.13Z";"23.13";"23.1";"23";"C23";"C";"Fabrication de verre creux"
"23.14Z";"23.14";"23.1";"23";"C23";"C";"Fabrication de fibres de verre"
"23.19Z";"23.19";"23.1";"23";"C23";"C";"Fabrication et façonnage d'autres articles en verre, y compris verre technique"
"23.20Z";"23.20";"23.2";"23";"C23";"C";"Fabrication de produits réfractaires"
"23.31Z";"23.31";"23.3";"23";"C23";"C";"Fabrication de carreaux en céramique"
"23.32Z";"23.32";"23.3";"23";"C23";"C";"Fabrication de briques, tuiles et produits de construction, en terre cuite"
"23.41Z";"23.41";"23.4";"23";"C23";"C";"Fabrication d'articles céramiques à usage domestique ou ornemental"
"23.42Z";"23.42";"23.4";"23";"C23";"C";"Fabrication d'appareils sanitaires en céramique"
"23.43Z";"23.43";"23.4";"23";"C23";"C";"Fabrication d'isolateurs et pièces isolantes en céramique"
"23.44Z";"23.44";"23.4";"23";"C23";"C";"Fabrication d'autres produits céramiques à usage technique"
"23.49Z";"23.49";"23.4";"23";"C23";"C";"Fabrication d'autres produits céramiques"
"23.51Z";"23.51";"23.5";"23";"C23";"C";"Fabrication de ciment"
"23.52Z";"23.52";"23.5";"23";"C23";"C";"Fabrication de chaux et plâtre"
"23.61Z";"23.61";"23.6";"23";"C23";"C";"Fabrication d'éléments en béton pour la construction"
"23.62Z";"23.62";"23.6";"23";"C23";"C";"Fabrication d'éléments en plâtre pour la construction"
"23.63Z";"23.63";"23.6";"23";"C23";"C";"Fabrication de béton prêt à l'emploi"
"23.64Z";"23.64";"23.6";"23";"C23";"C";"Fabrication de mortiers et bétons secs"
"23.65Z";"23.65";"23.6";"23";"C23";"C";"Fabrication d'ouvrages en fibre-ciment"
"23.69Z";"23.69";"23.6";"23";"C23";"C";"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre"
"23.70Z";"23.70";"23.7";"23";"C23";"C";"Taille, façonnage et finissage de pierres"
"23.91Z";"23.91";"23.9";"23";"C23";"C";"Fabrication de produits abrasifs"
"23.99Z";"23.99";"23.9";"23";"C23";"C";"Fabrication d'autres produits minéraux non métalliques n.c.a."
"24.10Z";"24.10";"24.1";"24";"C24";"C";"Sidérurgie"
"24.20Z";"24.20";"24.2";"24";"C24";"C";"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier"
"24.31Z";"24.31";"24.3";"24";"C24";"C";"Étirage à froid de barres"
"24.32Z";"24.32";"24.3";"24";"C24";"C";"Laminage à froid de feuillards"
