"code_ape_a732";"label_ape_a732";"code_eeio_dk";"label_eeio_dk";"flag_mapping_a732";"accuracy_mapping_a732"
"19.20Z";"Raffinage du pétrol";"190000";"Oil refinery etc.";"";4
"20.11Z";"Fabrication de gaz industriels";"200010";"Manufacture of basic chemicals";"";2
"20.12Z";"Fabrication de colorants et de pigments";"200010";"Manufacture of basic chemicals";"";2
"20.13A";"Enrichissement et retraitement de matières nucléair";"200010";"Manufacture of basic chemicals";"";2
"20.13B";"Fabrication d'autres produits chimiques inorganiques de base n.c.a.";"200010";"Manufacture of basic chemicals";"";2
"20.14Z";"Fabrication d'autres produits chimiques organiques de base";"200010";"Manufacture of basic chemicals";"";2
"20.15Z";"Fabrication de produits azotés et d'engrai";"200010";"Manufacture of basic chemicals";"";2
"20.16Z";"Fabrication de matières plastiques de bas";"200010";"Manufacture of basic chemicals";"";2
"20.17Z";"Fabrication de caoutchouc synthétiqu";"200010";"Manufacture of basic chemicals";"";2
"20.20Z";"Fabrication de pesticides et d'autres produits agrochimiques";"200010";"Manufacture of basic chemicals";"";2
"20.30Z";"Fabrication de peintures, vernis, encres et mastics";"200020";"Manufacture of paints and soap etc.";"";2
"20.41Z";"Fabrication de savons, détergents et produits d'entretie";"200020";"Manufacture of paints and soap etc.";"";2
"20.42Z";"Fabrication de parfums et de produits pour la toilette";"200020";"Manufacture of paints and soap etc.";"";2
"20.51Z";"Fabrication de produits explosifs";"200021";"Manufacture of paints and soap etc.";"d";3
"20.52Z";"Fabrication de colles";"200022";"Manufacture of paints and soap etc.";"d";3
"20.53Z";"Fabrication d'huiles essentielles";"200023";"Manufacture of paints and soap etc.";"d";3
"20.59Z";"Fabrication d'autres produits chimiques n.c.a.";"200024";"Manufacture of paints and soap etc.";"d";3
"20.60Z";"Fabrication de fibres artificielles ou synthétique";"200025";"Manufacture of paints and soap etc.";"d";3
"21.10Z";"Fabrication de produits pharmaceutiques de base";"210000";"Pharmaceuticals";"";4
"21.20Z";"Fabrication de préparations pharmaceutique";"210000";"Pharmaceuticals";"";4
"22.11Z";"Fabrication et rechapage de pneumatiques";"220000";"Manufacture of rubber and plastic products";"";4
"22.19Z";"Fabrication d'autres articles en caoutchouc";"220000";"Manufacture of rubber and plastic products";"";4
"22.21Z";"Fabrication de plaques, feuilles, tubes et profilés en matières plastiqu";"220000";"Manufacture of rubber and plastic products";"";4
"22.22Z";"Fabrication d'emballages en matières plastique";"220000";"Manufacture of rubber and plastic products";"";4
"22.23Z";"Fabrication d'éléments en matières plastiques pour la construct";"220000";"Manufacture of rubber and plastic products";"";4
"22.29A";"Fabrication de pièces techniques à base de matières plastiq";"220000";"Manufacture of rubber and plastic products";"";4
"22.29B";"Fabrication de produits de consommation courante en matières plastique";"220000";"Manufacture of rubber and plastic products";"";4
"23.11Z";"Fabrication de verre plat";"230010";"Manufacture of glass and ceramic products";"";2
"23.12Z";"Façonnage et transformation du verre pla";"230010";"Manufacture of glass and ceramic products";"";2
"23.13Z";"Fabrication de verre creux";"230010";"Manufacture of glass and ceramic products";"";2
"23.14Z";"Fabrication de fibres de verre";"230010";"Manufacture of glass and ceramic products";"";2
"23.19Z";"Fabrication et façonnage d'autres articles en verre, y compris verre techniqu";"230010";"Manufacture of glass and ceramic products";"";2
"23.20Z";"Fabrication de produits réfractaire";"230010";"Manufacture of glass and ceramic products";"";2
"23.31Z";"Fabrication de carreaux en céramiqu";"230010";"Manufacture of glass and ceramic products";"";2
"23.32Z";"Fabrication de briques, tuiles et produits de construction, en terre cuite";"230010";"Manufacture of glass and ceramic products";"d";3
"23.41Z";"Fabrication d'articles céramiques à usage domestique ou ornement";"230010";"Manufacture of glass and ceramic products";"";2
"23.42Z";"Fabrication d'appareils sanitaires en céramiqu";"230010";"Manufacture of glass and ceramic products";"";2
"23.43Z";"Fabrication d'isolateurs et pièces isolantes en céramiq";"230010";"Manufacture of glass and ceramic products";"";2
"23.44Z";"Fabrication d'autres produits céramiques à usage techniq";"230010";"Manufacture of glass and ceramic products";"";2
"23.49Z";"Fabrication d'autres produits céramique";"230010";"Manufacture of glass and ceramic products";"";2
"23.51Z";"Fabrication de ciment";"230020";"Manufacture of concrete and bricks";"";2
"23.52Z";"Fabrication de chaux et plâtr";"230020";"Manufacture of concrete and bricks";"";2
"23.61Z";"Fabrication d'éléments en béton pour la construct";"230020";"Manufacture of concrete and bricks";"";2
"23.62Z";"Fabrication d'éléments en plâtre pour la construct";"230020";"Manufacture of concrete and bricks";"";2
"23.63Z";"Fabrication de béton prêt à l'emp";"230020";"Manufacture of concrete and bricks";"";2
"23.64Z";"Fabrication de mortiers et bétons sec";"230020";"Manufacture of concrete and bricks";"";2
"23.65Z";"Fabrication d'ouvrages en fibre-ciment";"230020";"Manufacture of concrete and bricks";"";2
"23.69Z";"Fabrication d'autres ouvrages en béton, en ciment ou en plât";"230020";"Manufacture of concrete and bricks";"";2
"23.70Z";"Taille, façonnage et finissage de pierre";"230020";"Manufacture of concrete and bricks";"";2
"23.91Z";"Fabrication de produits abrasifs";"230020";"Manufacture of concrete and bricks";"";2
"23.99Z";"Fabrication d'autres produits minéraux non métalliques n.c.";"230020";"Manufacture of concrete and bricks";"";2
"24.10Z";"Sidérurgi";"240000";"Manufacture of basic metals";"";4
"24.20Z";"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acie";"240000";"Manufacture of basic metals";"";4
"24.31Z";" tirage   froid de barres";"240000";"Manufacture of basic metals";"";4
"24.32Z";"Laminage à froid de feuillard";"240000";"Manufacture of basic metals";"";4
"24.33Z";"Profilage à froid par formage ou pliag";"240000";"Manufacture of basic metals";"";4
"24.34Z";"Tréfilage à fro";"240000";"Manufacture of basic metals";"";4
"24.41Z";"Production de métaux précie";"240000";"Manufacture of basic metals";"";4
"24.42Z";"Métallurgie de l'aluminiu";"240000";"Manufacture of basic metals";"";4
"24.43Z";"Métallurgie du plomb, du zinc ou de l'éta";"240000";"Manufacture of basic metals";"";4
"24.44Z";"Métallurgie du cuivr";"240000";"Manufacture of basic metals";"";4
"24.45Z";"Métallurgie des autres métaux non ferre";"240000";"Manufacture of basic metals";"";4
"24.46Z";" laboration et transformation de mati res nucl aires";"240000";"Manufacture of basic metals";"";4
"24.51Z";"Fonderie de fonte";"240000";"Manufacture of basic metals";"";4
"24.52Z";"Fonderie d'acier";"240000";"Manufacture of basic metals";"";4
