"code_ape_a732";"label_ape_a732";"code_eeio_us";"label_eeio_us";"flag_mapping_a732";"accuracy_mapping_a732"
"46.77Z";"Commerce de gros (commerce interentreprises) de déchets et débris";"423A00";"Other durable goods merchant wholesalers";"";3
"46.90Z";"Commerce de gros (commerce interentreprises) non spécialisé";"423A00";"Other durable goods merchant wholesalers";"p";3
"46.90Z";"Commerce de gros (commerce interentreprises) non spécialisé";"424A00";"Other nondurable goods merchant wholesalers";"p";3
"47.11A";"Commerce de détail de produits surgelés";"445000";"Food and beverage stores";"";2
"47.11B";"Commerce d'alimentation générale";"445000";"Food and beverage stores";"";2
"47.11C";"Supérettes";"445000";"Food and beverage stores";"";2
"47.11D";"Supermarchés";"445000";"Food and beverage stores";"";2
"47.11E";"Magasins multi-commerces";"452000";"General merchandise stores";"";2
"47.11F";"Hypermarchés";"452000";"General merchandise stores";"";2
"47.19A";"Grands magasins";"452000";"General merchandise stores";"";2
"47.19B";"Autres commerces de détail en magasin non spécialisé";"452000";"General merchandise stores";"";3
"47.21Z";"Commerce de détail de fruits et légumes en magasin spécialisé";"445000";"Food and beverage stores";"";3
"47.22Z";"Commerce de détail de viandes et de produits à base de viande en magasin spécialisé";"445000";"Food and beverage stores";"";3
"47.23Z";"Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé";"445000";"Food and beverage stores";"";3
"47.24Z";"Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé";"445000";"Food and beverage stores";"";3
"47.25Z";"Commerce de détail de boissons en magasin spécialisé";"445000";"Food and beverage stores";"";3
"47.26Z";"Commerce de détail de produits à base de tabac en magasin spécialisé";"445000";"Food and beverage stores";"";3
"47.29Z";"Autres commerces de détail alimentaires en magasin spécialisé";"445000";"Food and beverage stores";"";3
"47.30Z";"Commerce de détail de carburants en magasin spécialisé";"447000";"Gasoline stations";"";1
"47.41Z";"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé";"4B0000";"Other retail";"";3
"47.42Z";"Commerce de détail de matériels de télécommunication en magasin spécialisé";"4B0000";"Other retail";"";3
"47.43Z";"Commerce de détail de matériels audio et vidéo en magasin spécialisé";"4B0000";"Other retail";"";3
"47.51Z";"Commerce de détail de textiles en magasin spécialisé";"451000";"Sporting goods, hobby, book, and music stores";"";3
"47.52A";"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m2)";"444000";"Building material and garden equipment and supplies dealers";"";3
"47.52B";"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus)";"444000";"Building material and garden equipment and supplies dealers";"";3
"47.53Z";"Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé";"4B0000";"Other retail";"";3
"47.54Z";"Commerce de détail d'appareils électroménagers en magasin spécialisé";"4B0000";"Other retail";"";3
"47.59A";"Commerce de détail de meubles";"4B0000";"Other retail";"";3
"47.59B";"Commerce de détail d'autres équipements du foyer";"4B0000";"Other retail";"";3
"47.61Z";"Commerce de détail de livres en magasin spécialisé";"451000";"Sporting goods, hobby, book, and music stores";"";3
"47.62Z";"Commerce de détail de journaux et papeterie en magasin spécialisé";"451000";"Sporting goods, hobby, book, and music stores";"";3
"47.63Z";"Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé";"451000";"Sporting goods, hobby, book, and music stores";"";3
"47.64Z";"Commerce de détail d'articles de sport en magasin spécialisé";"451000";"Sporting goods, hobby, book, and music stores";"";3
"47.65Z";"Commerce de détail de jeux et jouets en magasin spécialisé";"451000";"Sporting goods, hobby, book, and music stores";"";3
"47.71Z";"Commerce de détail d'habillement en magasin spécialisé";"448000";"Clothing and clothing accessories stores";"";2
"47.72A";"Commerce de détail de la chaussure";"448000";"Clothing and clothing accessories stores";"";2
"47.72B";"Commerce de détail de maroquinerie et d'articles de voyage";"448000";"Clothing and clothing accessories stores";"";2
"47.73Z";"Commerce de détail de produits pharmaceutiques en magasin spécialisé";"446000";"Health and personal care stores";"";2
"47.74Z";"Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé";"446000";"Health and personal care stores";"";2
"47.75Z";"Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé";"446000";"Health and personal care stores";"";2
"47.76Z";"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé";"444000";"Building material and garden equipment and supplies dealers";"p";3
"47.76Z";"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé";"4B0000";"Other retail";"p";3
"47.77Z";"Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé";"448000";"Clothing and clothing accessories stores";"";3
"47.78A";"Commerces de détail d'optique";"446000";"Health and personal care stores";"";2
"47.78B";"Commerces de détail de charbons et combustibles";"454000";"Nonstore retailers";"";5
"47.78C";"Autres commerces de détail spécialisés divers";"4B0000";"Other retail";"";3
"47.79Z";"Commerce de détail de biens d'occasion en magasin";"4B0000";"Other retail";"";3
"47.81Z";"Commerce de détail alimentaire sur éventaires et marchés";"454000";"Nonstore retailers";"";3
"47.82Z";"Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés";"454000";"Nonstore retailers";"";3
"47.89Z";"Autres commerces de détail sur éventaires et marchés";"454000";"Nonstore retailers";"";3
"47.91A";"Vente à distance sur catalogue général";"454000";"Nonstore retailers";"";3
"47.91B";"Vente à distance sur catalogue spécialisé";"454000";"Nonstore retailers";"";3
"47.99A";"Vente à domicile";"454000";"Nonstore retailers";"";3
"47.99B";"Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a.";"454000";"Nonstore retailers";"";3
"49.10Z";"Transport ferroviaire interurbain de voyageurs";"482000";"Rail transportation";"";2
"49.20Z";"Transports ferroviaires de fret";"482000";"Rail transportation";"";2
"49.31Z";"Transports urbains et suburbains de voyageurs";"485000";"Transit and ground passenger transportation";"";2
"49.32Z";"Transports de voyageurs par taxis";"485000";"Transit and ground passenger transportation";"";2
"49.39A";"Transports routiers réguliers de voyageurs";"485000";"Transit and ground passenger transportation";"";2
"49.39B";"Autres transports routiers de voyageurs";"485000";"Transit and ground passenger transportation";"";2
"49.39C";"Téléphériques et remontées mécaniques";"48A000";"Scenic and sightseeing transportation and support activities for transportation";"";3
"49.41A";"Transports routiers de fret interurbains";"484000";"Truck transportation";"";2
"49.41B";"Transports routiers de fret de proximité";"484000";"Truck transportation";"";2
"49.41C";"Location de camions avec chauffeur";"484000";"Truck transportation";"";2
"49.42Z";"Services de déménagement";"484000";"Truck transportation";"";2
"49.50Z";"Transports par conduites";"486000";"Pipeline transportation";"";1
"50.10Z";"Transports maritimes et côtiers de passagers";"483000";"Water transportation";"";4
"50.20Z";"Transports maritimes et côtiers de fret";"483000";"Water transportation";"";4
"50.30Z";"Transports fluviaux de passagers";"483000";"Water transportation";"";4
"50.40Z";"Transports fluviaux de fret";"483000";"Water transportation";"";4
"51.10Z";"Transports aériens de passagers";"481000";"Air transportation";"";4
"51.21Z";"Transports aériens de fret";"481000";"Air transportation";"";4
"51.22Z";"Transports spatiaux";"481000";"Air transportation";"";4
"52.10A";"Entreposage et stockage frigorifique";"493000";"Warehousing and storage";"";3
"52.10B";"Entreposage et stockage non frigorifique";"493000";"Warehousing and storage";"";3
"52.21Z";"Services auxiliaires des transports terrestres";"48A000";"Scenic and sightseeing transportation and support activities for transportation";"";3
"52.22Z";"Services auxiliaires des transports par eau";"48A000";"Scenic and sightseeing transportation and support activities for transportation";"";3
"52.23Z";"Services auxiliaires des transports aériens";"48A000";"Scenic and sightseeing transportation and support activities for transportation";"";3
"52.24A";"Manutention portuaire";"48A000";"Scenic and sightseeing transportation and support activities for transportation";"";3
"52.24B";"Manutention non portuaire";"48A000";"Scenic and sightseeing transportation and support activities for transportation";"";3
"52.29A";"Messagerie, fret express";"492000";"Couriers and messengers";"";2
"52.29B";"Affrètement et organisation des transports";"48A000";"Scenic and sightseeing transportation and support activities for transportation";"";3
"53.10Z";"Activités de poste dans le cadre d'une obligation de service universel";"491000";"Postal service";"";1
"53.20Z";"Autres activités de poste et de courrier";"492000";"Couriers and messengers";"";2
"55.10Z";"Hôtels et hébergement similaire";"721000";"Accommodation";"";3
"55.20Z";"Hébergement touristique et autre hébergement de courte durée";"721000";"Accommodation";"";3
"55.30Z";"Terrains de camping et parcs pour caravanes ou véhicules de loisirs";"721000";"Accommodation";"";3
"55.90Z";"Autres hébergements";"721000";"Accommodation";"";3
"56.10A";"Restauration traditionnelle";"722110";"Full-service restaurants";"";1
"56.10B";"Cafétérias et autres libres-services";"722A00";"All other food and drinking places";"";3
"56.10C";"Restauration de type rapide";"722211";"Limited-service restaurants";"";1
"56.21Z";"Services des traiteurs";"722A00";"All other food and drinking places";"";3
"56.29A";"Restauration collective sous contrat";"722A00";"All other food and drinking places";"";3
"56.29B";"Autres services de restauration n.c.a.";"722A00";"All other food and drinking places";"";3
"56.30Z";"Débits de boissons";"722A00";"All other food and drinking places";"";3
"58.11Z";"Édition de livres";"511130";"Book publishers";"";1
"58.12Z";"Édition de répertoires et de fichiers d'adresses";"5111A0";"Directory, mailing list, and other publishers";"";2
"58.13Z";"Édition de journaux";"511110";"Newspaper publishers";"";1
"58.14Z";"Édition de revues et périodiques";"511120";"Periodical publishers";"";1
"58.19Z";"Autres activités d'édition";"5111A0";"Directory, mailing list, and other publishers";"";2
"58.21Z";"Édition de jeux électroniques";"511200";"Software publishers";"";2
"58.29A";"Édition de logiciels système et de réseau";"511200";"Software publishers";"";2
"58.29B";"Edition de logiciels outils de développement et de langages";"511200";"Software publishers";"";2
"58.29C";"Edition de logiciels applicatifs";"511200";"Software publishers";"";2
"59.11A";"Production de films et de programmes pour la télévision";"512100";"Motion picture and video industries";"";3
"59.11B";"Production de films institutionnels et publicitaires";"512100";"Motion picture and video industries";"";3
"59.11C";"Production de films pour le cinéma";"512100";"Motion picture and video industries";"";3
"59.12Z";"Post-production de films cinématographiques, de vidéo et de programmes de télévision";"512100";"Motion picture and video industries";"";3
"59.13A";"Distribution de films cinématographiques";"512100";"Motion picture and video industries";"";3
"59.13B";"Edition et distribution vidéo";"512100";"Motion picture and video industries";"";3
"59.14Z";"Projection de films cinématographiques";"512100";"Motion picture and video industries";"";3
"59.20Z";"Enregistrement sonore et édition musicale";"512200";"Sound recording industries";"";1
"60.10Z";"Édition et diffusion de programmes radio";"515100";"Radio and television broadcasting";"";3
"60.20A";"Edition de chaînes généralistes";"515100";"Radio and television broadcasting";"";3
"60.20B";"Edition de chaînes thématiques";"515100";"Radio and television broadcasting";"p";3
"60.20B";"Edition de chaînes thématiques";"515200";"Cable and other subscription programming";"p";3
"61.10Z";"Télécommunications filaires";"517110";"Wired telecommunications carriers";"";1
"61.20Z";"Télécommunications sans fil";"517210";"Wireless telecommunications carriers (except satellite)";"";1
"61.30Z";"Télécommunications par satellite";"517A00";"Satellite, telecommunications resellers, and all other telecommunications";"";3
"61.90Z";"Autres activités de télécommunication";"517A00";"Satellite, telecommunications resellers, and all other telecommunications";"";3
"62.01Z";"Programmation informatique";"541511";"Custom computer programming services";"";1
"62.02A";"Conseil en systèmes et logiciels informatiques";"541512";"Computer systems design services";"";2
"62.02B";"Tierce maintenance de systèmes et d’applications informatiques";"54151A";"Other computer related services, including facilities management";"";3
"62.03Z";"Gestion d'installations informatiques";"54151A";"Other computer related services, including facilities management";"";3
"62.09Z";"Autres activités informatiques";"54151A";"Other computer related services, including facilities management";"";3
"63.11Z";"Traitement de données, hébergement et activités connexes";"518200";"Data processing, hosting, and related services";"";1
"63.12Z";"Portails Internet";"519130";"Internet publishing and broadcasting and Web search portals";"";1
"63.91Z";"Activités des agences de presse";"5191A0";"News syndicates, libraries, archives and all other information services";"";3
"63.99Z";"Autres services d'information n.c.a.";"5191A0";"News syndicates, libraries, archives and all other information services";"";3
"64.11Z";"Activités de banque centrale";"52A000";"Monetary authorities and depository credit intermediation";"";2
"64.19Z";"Autres intermédiations monétaires";"52A000";"Monetary authorities and depository credit intermediation";"";2
"64.20Z";"Activités des sociétés holding";"550000";"Management of companies and enterprises";"";2
"64.30Z";"Fonds de placement et entités financières similaires";"525000";"Funds, trusts, and other financial vehicles";"";3
"64.91Z";"Crédit-bail";"522A00";"Nondepository credit intermediation and related activities";"";2
"64.92Z";"Autre distribution de crédit";"522A00";"Nondepository credit intermediation and related activities";"";2
"64.99Z";"Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.";"523900";"Other financial investment activities";"";3
"64.99Z";"Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.";"523A00";"Securities and commodity contracts intermediation and brokerage";"";3
"65.11Z";"Assurance vie";"524113";"Direct life insurance carriers";"";1
"65.12Z";"Autres assurances";"5241XX";"Insurance carriers, except direct life insurance";"";3
"65.20Z";"Réassurance";"5241XX";"Insurance carriers, except direct life insurance";"";3
"65.30Z";"Caisses de retraite";"525000";"Funds, trusts, and other financial vehicles";"";3
"66.11Z";"Administration de marchés financiers";"523A00";"Securities and commodity contracts intermediation and brokerage";"";3
"66.12Z";"Courtage de valeurs mobilières et de marchandises";"523A00";"Securities and commodity contracts intermediation and brokerage";"";3
"66.19A";"Supports juridiques de gestion de patrimoine mobilier";"525000";"Funds, trusts, and other financial vehicles";"";3
"66.19B";"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.";"523900";"Other financial investment activities";"";3
"66.21Z";"Évaluation des risques et dommages";"5241XX";"Insurance carriers, except direct life insurance";"";3
"66.22Z";"Activités des agents et courtiers d'assurances";"5241XX";"Insurance carriers, except direct life insurance";"";3
"66.29Z";"Autres activités auxiliaires d'assurance et de caisses de retraite";"5241XX";"Insurance carriers, except direct life insurance";"";3
"66.30Z";"Gestion de fonds";"523900";"Other financial investment activities";"";3
"68.10Z";"Activités des marchands de biens immobiliers";"531ORE";"Other real estate";"";4
"68.20A";"Location de logements";"531HST";"Tenant-occupied housing";"";1
"68.20B";"Location de terrains et d'autres biens immobiliers";"531ORE";"Other real estate";"";4
"68.31Z";"Agences immobilières";"531ORE";"Other real estate";"";4
"68.32A";"Administration d'immeubles et autres biens immobiliers";"531ORE";"Other real estate";"";4
"68.32B";"Supports juridiques de gestion de patrimoine immobilier";"531ORE";"Other real estate";"";4
"69.10Z";"Activités juridiques";"541100";"Legal services";"";1
"69.20Z";"Activités comptables";"541200";"Accounting, tax preparation, bookkeeping, and payroll services";"";1
"70.10Z";"Activités des sièges sociaux";"550000";"Management of companies and enterprises";"";2
"70.21Z";"Conseil en relations publiques et communication";"541800";"Advertising, public relations, and related services";"";3
"70.22Z";"Conseil pour les affaires et autres conseils de gestion";"541610";"Management consulting services";"";1
"71.11Z";"Activités d'architecture";"541300";"Architectural, engineering, and related services";"";3
"71.12A";"Activité des géomètres";"541300";"Architectural, engineering, and related services";"";3
"71.12B";"Ingénierie, études techniques";"541300";"Architectural, engineering, and related services";"p";3
"71.12B";"Ingénierie, études techniques";"5416A0";"Environmental and other technical consulting services";"p";3
"71.20A";"Contrôle technique automobile";"811100";"Automotive repair and maintenance";"";2
"71.20B";"Analyses, essais et inspections techniques";"541300";"Architectural, engineering, and related services";"";3
"72.11Z";"Recherche-développement en biotechnologie";"541700";"Scientific research and development services";"";4
"72.19Z";"Recherche-développement en autres sciences physiques et naturelles";"541700";"Scientific research and development services";"";4
"72.20Z";"Recherche-développement en sciences humaines et sociales";"541700";"Scientific research and development services";"";4
"73.11Z";"Activités des agences de publicité";"541800";"Advertising, public relations, and related services";"";3
"73.12Z";"Régie publicitaire de médias";"541800";"Advertising, public relations, and related services";"";3
"73.20Z";"Études de marché et sondages";"5419A0";"All other miscellaneous professional, scientific, and technical services";"";3
"74.10Z";"Activités spécialisées de design";"541400";"Specialized design services";"";1
"74.20Z";"Activités photographiques";"541920";"Photographic services";"";1
"74.30Z";"Traduction et interprétation";"5419A0";"All other miscellaneous professional, scientific, and technical services";"";3
"74.90A";"Activité des économistes de la construction";"541300";"Architectural, engineering, and related services";"";3
"74.90B";"Activités spécialisées, scientifiques et techniques diverses";"5416A0";"Environmental and other technical consulting services";"p";3
"74.90B";"Activités spécialisées, scientifiques et techniques diverses";"5419A0";"All other miscellaneous professional, scientific, and technical services";"p";3
"75.00Z";"Activités vétérinaires";"541940";"Veterinary services";"";1
"77.11A";"Location de courte durée de voitures et de véhicules automobiles légers";"532100";"Automotive equipment rental and leasing";"";2
"77.11B";"Location de longue durée de voitures et de véhicules automobiles légers";"532100";"Automotive equipment rental and leasing";"";2
"77.12Z";"Location et location-bail de camions";"532100";"Automotive equipment rental and leasing";"";2
"77.21Z";"Location et location-bail d'articles de loisirs et de sport";"532A00";"General and consumer goods rental";"";3
"77.22Z";"Location de vidéocassettes et disques vidéo";"532A00";"General and consumer goods rental";"";3
"77.29Z";"Location et location-bail d'autres biens personnels et domestiques";"532A00";"General and consumer goods rental";"";3
"77.31Z";"Location et location-bail de machines et équipements agricoles";"532400";"Commercial and industrial machinery and equipment rental and leasing";"";3
"77.32Z";"Location et location-bail de machines et équipements pour la construction";"532400";"Commercial and industrial machinery and equipment rental and leasing";"";3
"77.33Z";"Location et location-bail de machines de bureau et de matériel informatique";"532400";"Commercial and industrial machinery and equipment rental and leasing";"";3
"77.34Z";"Location et location-bail de matériels de transport par eau";"532400";"Commercial and industrial machinery and equipment rental and leasing";"";3
"77.35Z";"Location et location-bail de matériels de transport aérien";"532400";"Commercial and industrial machinery and equipment rental and leasing";"";3
"77.39Z";"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.";"532400";"Commercial and industrial machinery and equipment rental and leasing";"";3
"77.40Z";"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright";"533000";"Lessors of nonfinancial intangible assets";"";1
"78.10Z";"Activités des agences de placement de main-d'œuvre";"561300";"Employment services";"";4
"78.20Z";"Activités des agences de travail temporaire";"561300";"Employment services";"";4
"78.30Z";"Autre mise à disposition de ressources humaines";"561300";"Employment services";"";4
"79.11Z";"Activités des agences de voyage";"561500";"Travel arrangement and reservation services";"";4
"79.12Z";"Activités des voyagistes";"561500";"Travel arrangement and reservation services";"";4
"79.90Z";"Autres services de réservation et activités connexes";"561500";"Travel arrangement and reservation services";"";4
"80.10Z";"Activités de sécurité privée";"561600";"Investigation and security services";"";3
"80.20Z";"Activités liées aux systèmes de sécurité";"561600";"Investigation and security services";"";3
"80.30Z";"Activités d'enquête";"561600";"Investigation and security services";"";3
"81.10Z";"Activités combinées de soutien lié aux bâtiments";"561200";"Facilities support services";"";1
"81.21Z";"Nettoyage courant des bâtiments";"561700";"Services to buildings and dwellings";"";3
"81.22Z";"Autres activités de nettoyage des bâtiments et nettoyage industriel";"561700";"Services to buildings and dwellings";"";3
"81.29A";"Désinfection, désinsectisation, dératisation";"561700";"Services to buildings and dwellings";"";3
"81.29B";"Autres activités de nettoyage n.c.a.";"561700";"Services to buildings and dwellings";"";3
"81.30Z";"Services d'aménagement paysager";"561700";"Services to buildings and dwellings";"";3
"82.11Z";"Services administratifs combinés de bureau";"561100";"Office administrative services";"";1
"82.19Z";"Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau";"561400";"Business support services";"";3
"82.20Z";"Activités de centres d'appels";"561400";"Business support services";"";3
"82.30Z";"Organisation de foires, salons professionnels et congrès";"561900";"Other support services";"";3
"82.91Z";"Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle";"561400";"Business support services";"";3
"82.92Z";"Activités de conditionnement";"561900";"Other support services";"";3
"82.99Z";"Autres activités de soutien aux entreprises n.c.a.";"561900";"Other support services";"";3
"84.11Z";"Administration publique générale";"S00600";"Federal general government (nondefense)";"na";5
"84.12Z";"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale";"S00600";"Federal general government (nondefense)";"na";5
"84.13Z";"Administration publique (tutelle) des activités économiques";"S00600";"Federal general government (nondefense)";"na";5
"84.21Z";"Affaires étrangères";"S00600";"Federal general government (nondefense)";"na";5
"84.22Z";"Défense";"S00500";"Federal general government (defense)";"na";5
"84.23Z";"Justice";"S00600";"Federal general government (nondefense)";"na";5
"84.24Z";"Activités d’ordre public et de sécurité";"GSLGO";"State and local government (other services)";"na";5
"84.25Z";"Services du feu et de secours";"GSLGO";"State and local government (other services)";"na";5
"84.30A";"Activités générales de sécurité sociale";"GSLGO";"State and local government (other services)";"na";5
"84.30B";"Gestion des retraites complémentaires";"GSLGH";"State and local government (hospitals and health services)";"na";5
"84.30C";"Distribution sociale de revenus";"GSLGH";"State and local government (hospitals and health services)";"na";5
"85.10Z";"Enseignement pré-primaire";"611100";"Elementary and secondary schools";"";3
"85.20Z";"Enseignement primaire";"611100";"Elementary and secondary schools";"";3
"85.31Z";"Enseignement secondaire général";"611100";"Elementary and secondary schools";"";3
"85.32Z";"Enseignement secondaire technique ou professionnel";"611100";"Elementary and secondary schools";"";3
"85.41Z";"Enseignement post-secondaire non supérieur";"611B00";"Other educational services";"";3
"85.42Z";"Enseignement supérieur";"611A00";"Junior colleges, colleges, universities, and professional schools";"";1
"85.51Z";"Enseignement de disciplines sportives et d'activités de loisirs";"611B00";"Other educational services";"";3
"85.52Z";"Enseignement culturel";"611B00";"Other educational services";"";3
"85.53Z";"Enseignement de la conduite";"611B00";"Other educational services";"";3
"85.59A";"Formation continue d'adultes";"611B00";"Other educational services";"";3
"85.59B";"Autres enseignements";"611B00";"Other educational services";"";3
"85.60Z";"Activités de soutien à l'enseignement";"611B00";"Other educational services";"";3
"86.10Z";"Activités hospitalières";"622000";"Hospitals";"";1
"86.21Z";"Activité des médecins généralistes";"621100";"Offices of physicians";"";2
"86.22A";"Activités de radiodiagnostic et de radiothérapie";"621100";"Offices of physicians";"p";2
"86.22A";"Activités de radiodiagnostic et de radiothérapie";"621500";"Medical and diagnostic laboratories";"p";2
"86.22B";"Activités chirurgicales";"621100";"Offices of physicians";"";2
"86.22C";"Autres activités des médecins spécialistes";"621100";"Offices of physicians";"";2
"86.23Z";"Pratique dentaire";"621200";"Offices of dentists";"";1
"86.90A";"Ambulances";"621900";"Other ambulatory health care services";"";3
"86.90B";"Laboratoires d'analyses médicales";"621500";"Medical and diagnostic laboratories";"";1
"86.90C";"Centres de collecte et banques d'organes";"621900";"Other ambulatory health care services";"";3
"86.90D";"Activités des infirmiers et des sages-femmes";"621600";"Home health care services";"";3
"86.90E";"Activités des professionnels de la rééducation, de l’appareillage et des pédicures-podologues";"621300";"Offices of other health practitioners";"p";3
"86.90F";"Activités de santé humaine non classées ailleurs";"621300";"Offices of other health practitioners";"p";3
"86.90F";"Activités de santé humaine non classées ailleurs";"621400";"Outpatient care centers";"p";3
"87.10A";"Hébergement médicalisé pour personnes âgées";"623A00";"Nursing and community care facilities";"";3
"87.10B";"Hébergement médicalisé pour enfants handicapés";"623B00";"Residential mental health, substance abuse, and other residential care facilities";"";3
"87.10C";"Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé";"623B00";"Residential mental health, substance abuse, and other residential care facilities";"";3
"87.20A";"Hébergement social pour handicapés mentaux et malades mentaux";"623B00";"Residential mental health, substance abuse, and other residential care facilities";"";3
"87.20B";"Hébergement social pour toxicomanes";"623B00";"Residential mental health, substance abuse, and other residential care facilities";"";3
"87.30A";"Hébergement social pour personnes âgées";"623A00";"Nursing and community care facilities";"";3
"87.30B";"Hébergement social pour handicapés  physiques";"623B00";"Residential mental health, substance abuse, and other residential care facilities";"";3
"87.90A";"Hébergement social pour enfants en difficultés";"623B00";"Residential mental health, substance abuse, and other residential care facilities";"p";3
"87.90A";"Hébergement social pour enfants en difficultés";"624100";"Individual and family services";"p";3
"87.90B";"Hébergement social pour adultes et familles en difficultés et autre hébergement social";"623B00";"Residential mental health, substance abuse, and other residential care facilities";"p";3
"87.90B";"Hébergement social pour adultes et familles en difficultés et autre hébergement social";"624A00";"Community food, housing, and other relief services, including rehabilitation services";"p";3
"88.10A";"Aide à domicile";"624100";"Individual and family services";"";3
"88.10B";"Accueil ou accompagnement sans hébergement d’adultes handicapés ou de  personnes âgées";"624100";"Individual and family services";"";3
"88.10C";"Aide par le travail";"624A00";"Community food, housing, and other relief services, including rehabilitation services";"";3
"88.91A";"Accueil de jeunes enfants";"624400";"Child day care services";"";1
"88.91B";"Accueil ou accompagnement sans hébergement d’enfants handicapés";"624100";"Individual and family services";"";3
"88.99A";"Autre accueil ou accompagnement sans hébergement d’enfants  et d’adolescents";"624100";"Individual and family services";"";3
"88.99B";"Action sociale sans hébergement n.c.a.";"624100";"Individual and family services";"";3
"90.01Z";"Arts du spectacle vivant";"711100";"Performing arts companies";"p";1
"90.01Z";"Arts du spectacle vivant";"711A00";"Promoters of performing arts and sports and agents for public figures";"p";1
"90.02Z";"Activités de soutien au spectacle vivant";"711A00";"Promoters of performing arts and sports and agents for public figures";"";3
"90.03A";"Création artistique relevant des arts plastiques";"711500";"Independent artists, writers, and performers";"";2
"90.03B";"Autre création artistique";"711500";"Independent artists, writers, and performers";"";2
"90.04Z";"Gestion de salles de spectacles";"711A00";"Promoters of performing arts and sports and agents for public figures";"";3
"91.01Z";"Gestion des bibliothèques et des archives";"5191A0";"News syndicates, libraries, archives and all other information services";"";3
"91.02Z";"Gestion des musées";"712000";"Museums, historical sites, zoos, and parks";"";3
"91.03Z";"Gestion des sites et monuments historiques et des attractions touristiques similaires";"712000";"Museums, historical sites, zoos, and parks";"";3
"91.04Z";"Gestion des jardins botaniques et zoologiques et des réserves naturelles";"712000";"Museums, historical sites, zoos, and parks";"";3
"92.00Z";"Organisation de jeux de hasard et d'argent";"713200";"Gambling industries (except casino hotels)";"";1
"93.11Z";"Gestion d'installations sportives";"711A00";"Promoters of performing arts and sports and agents for public figures";"";3
"93.12Z";"Activités de clubs de sports";"711200";"Spectator sports";"";3
"93.13Z";"Activités des centres de culture physique";"713900";"Other amusement and recreation industries";"";3
"93.19Z";"Autres activités liées au sport";"711200";"Spectator sports";"p";3
"93.19Z";"Autres activités liées au sport";"711A00";"Promoters of performing arts and sports and agents for public figures";"p";3
"93.21Z";"Activités des parcs d'attractions et parcs à thèmes";"713100";"Amusement parks and arcades";"";1
"93.29Z";"Autres activités récréatives et de loisirs";"713100";"Amusement parks and arcades";"p";3
"93.29Z";"Autres activités récréatives et de loisirs";"713900";"Other amusement and recreation industries";"p";3
"94.11Z";"Activités des organisations patronales et consulaires";"813B00";"Civic, social, professional, and similar organizations";"";2
"94.12Z";"Activités des organisations professionnelles";"813B00";"Civic, social, professional, and similar organizations";"";2
"94.20Z";"Activités des syndicats de salariés";"813B00";"Civic, social, professional, and similar organizations";"";2
"94.91Z";"Activités des organisations religieuses";"813100";"Religious organizations";"";1
"94.92Z";"Activités des organisations politiques";"813A00";"Grantmaking, giving, and social advocacy organizations";"p";2
"94.92Z";"Activités des organisations politiques";"813B00";"Civic, social, professional, and similar organizations";"p";2
"94.99Z";"Autres organisations fonctionnant par adhésion volontaire";"813A00";"Grantmaking, giving, and social advocacy organizations";"p";3
"94.99Z";"Autres organisations fonctionnant par adhésion volontaire";"813B00";"Civic, social, professional, and similar organizations";"p";3
"95.11Z";"Réparation d'ordinateurs et d'équipements périphériques";"811200";"Electronic and precision equipment repair and maintenance";"";2
"95.12Z";"Réparation d'équipements de communication";"811200";"Electronic and precision equipment repair and maintenance";"";2
"95.21Z";"Réparation de produits électroniques grand public";"811200";"Electronic and precision equipment repair and maintenance";"";2
"95.22Z";"Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin";"811400";"Personal and household goods repair and maintenance";"";3
"95.23Z";"Réparation de chaussures et d'articles en cuir";"811400";"Personal and household goods repair and maintenance";"";3
"95.24Z";"Réparation de meubles et d'équipements du foyer";"811400";"Personal and household goods repair and maintenance";"";3
