"code_ape_a732";"label_ape_a732";"code_eeio_us";"label_eeio_us";"flag_mapping_a732";"accuracy_mapping_a732"
"20.20Z";"Fabrication de pesticides et d’autres produits agrochimiques";"325320";"Pesticide and other agricultural chemical manufacturing";"";1
"20.30Z";"Fabrication de peintures, vernis, encres et mastics";"325510";"Paint and coating manufacturing";"";2
"20.30Z";"Fabrication de peintures, vernis, encres et mastics";"325910";"Printing ink manufacturing";"";2
"20.41Z";"Fabrication de savons, détergents et produits d'entretien";"325610";"Soap and cleaning compound manufacturing";"";1
"20.42Z";"Fabrication de parfums et de produits pour la toilette";"325620";"Toilet preparation manufacturing";"";1
"20.51Z";"Fabrication de produits explosifs";"3259A0";"All other chemical product and preparation manufacturing";"";3
"20.52Z";"Fabrication de colles";"325520";"Adhesive manufacturing";"";1
"20.53Z";"Fabrication d'huiles essentielles";"3259A0";"All other chemical product and preparation manufacturing";"";3
"20.59Z";"Fabrication d'autres produits chimiques n.c.a.";"3259A0";"All other chemical product and preparation manufacturing";"";3
"20.60Z";"Fabrication de fibres artificielles ou synthétiques";"3252A0";"Synthetic rubber and artificial and synthetic fibers and filaments manufacturing";"";3
"21.10Z";"Fabrication de produits pharmaceutiques de base";"325411";"Medicinal and botanical manufacturing";"";1
"21.20Z";"Fabrication de préparations pharmaceutiques";"325412";"Pharmaceutical preparation manufacturing";"p";1
"21.20Z";"Fabrication de préparations pharmaceutiques";"325413";"In-vitro diagnostic substance manufacturing";"p";1
"21.20Z";"Fabrication de préparations pharmaceutiques";"325414";"Biological product (except diagnostic) manufacturing";"p";1
"22.11Z";"Fabrication et rechapage de pneumatiques";"326210";"Tire manufacturing";"";1
"22.19Z";"Fabrication d'autres articles en caoutchouc";"326220";"Rubber and plastics hoses and belting manufacturing";"p";2
"22.19Z";"Fabrication d'autres articles en caoutchouc";"326290";"Other rubber product manufacturing";"p";2
"22.21Z";"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques";"326120";"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing";"p";2
"22.21Z";"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques";"326130";"Laminated plastics plate, sheet (except packaging), and shape manufacturing";"p";2
"22.21Z";"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques";"326140";"Polystyrene foam product manufacturing";"p";2
"22.21Z";"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques";"326220";"Rubber and plastics hoses and belting manufacturing";"p";2
"22.22Z";"Fabrication d'emballages en matières plastiques";"326110";"Plastics packaging materials and unlaminated film and sheet manufacturing";"p";1
"22.22Z";"Fabrication d'emballages en matières plastiques";"326140";"Polystyrene foam product manufacturing";"p";1
"22.22Z";"Fabrication d'emballages en matières plastiques";"326160";"Plastics bottle manufacturing";"p";1
"22.23Z";"Fabrication d'éléments en matières plastiques pour la construction";"326190";"Other plastics product manufacturing";"";3
"22.29A";"Fabrication de pièces techniques à base de matières plastiques";"326140";"Polystyrene foam product manufacturing";"p";3
"22.29A";"Fabrication de pièces techniques à base de matières plastiques";"326150";"Urethane and other foam product (except polystyrene) manufacturing";"p";3
"22.29A";"Fabrication de pièces techniques à base de matières plastiques";"326190";"Other plastics product manufacturing";"p";3
"22.29B";"Fabrication de produits de consommation courante en matières plastiques";"326140";"Polystyrene foam product manufacturing";"p";3
"22.29B";"Fabrication de produits de consommation courante en matières plastiques";"326150";"Urethane and other foam product (except polystyrene) manufacturing";"p";3
"22.29B";"Fabrication de produits de consommation courante en matières plastiques";"326190";"Other plastics product manufacturing";"p";3
"23.11Z";"Fabrication de verre plat";"327200";"Glass and glass product manufacturing";"";2
"23.12Z";"Façonnage et transformation du verre plat";"327200";"Glass and glass product manufacturing";"";2
"23.13Z";"Fabrication de verre creux";"327200";"Glass and glass product manufacturing";"";2
"23.14Z";"Fabrication de fibres de verre";"327993";"Mineral wool manufacturing";"";1
"23.19Z";"Fabrication et façonnage d'autres articles en verre, y compris verre technique";"327200";"Glass and glass product manufacturing";"";2
"23.20Z";"Fabrication de produits réfractaires";"327100";"Clay product and refractory manufacturing";"";3
"23.31Z";"Fabrication de carreaux en céramique";"327100";"Clay product and refractory manufacturing";"";3
"23.32Z";"Fabrication de briques, tuiles et produits de construction, en terre cuite";"327100";"Clay product and refractory manufacturing";"";3
"23.41Z";"Fabrication d'articles céramiques à usage domestique ou ornemental";"327100";"Clay product and refractory manufacturing";"";3
"23.42Z";"Fabrication d'appareils sanitaires en céramique";"327100";"Clay product and refractory manufacturing";"";3
"23.43Z";"Fabrication d'isolateurs et pièces isolantes en céramique";"327100";"Clay product and refractory manufacturing";"";3
"23.44Z";"Fabrication d'autres produits céramiques à usage technique";"327100";"Clay product and refractory manufacturing";"";3
"23.49Z";"Fabrication d'autres produits céramiques";"327100";"Clay product and refractory manufacturing";"";3
"23.51Z";"Fabrication de ciment";"327310";"Cement manufacturing";"";1
"23.52Z";"Fabrication de chaux et plâtre";"327400";"Lime and gypsum product manufacturing";"";1
"23.61Z";"Fabrication d'éléments en béton pour la construction";"327330";"Concrete pipe, brick, and block manufacturing";"p";2
"23.61Z";"Fabrication d'éléments en béton pour la construction";"327390";"Other concrete product manufacturing";"p";2
"23.62Z";"Fabrication d'éléments en plâtre pour la construction";"327400";"Lime and gypsum product manufacturing";"";
"23.63Z";"Fabrication de béton prêt à l'emploi";"327320";"Ready-mix concrete manufacturing";"";
"23.64Z";"Fabrication de mortiers et bétons secs";"327999";"Miscellaneous nonmetallic mineral products";"";
"23.65Z";"Fabrication d'ouvrages en fibre-ciment";"327390";"Other concrete product manufacturing";"p";3
"23.65Z";"Fabrication d'ouvrages en fibre-ciment";"327999";"Miscellaneous nonmetallic mineral products";"p";3
"23.69Z";"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre";"327390";"Other concrete product manufacturing";"p";3
"23.69Z";"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre";"327400";"Lime and gypsum product manufacturing";"p";3
"23.70Z";"Taille, façonnage et finissage de pierres";"327991";"Cut stone and stone product manufacturing";"";1
"23.91Z";"Fabrication de produits abrasifs";"327910";"Abrasive product manufacturing";"";1
"23.99Z";"Fabrication d'autres produits minéraux non métalliques n.c.a.";"324121";"Asphalt paving mixture and block manufacturing";"p";3
"23.99Z";"Fabrication d'autres produits minéraux non métalliques n.c.a.";"324122";"Asphalt shingle and coating materials manufacturing";"p";3
"23.99Z";"Fabrication d'autres produits minéraux non métalliques n.c.a.";"327992";"Ground or treated mineral and earth manufacturing";"p";3
"23.99Z";"Fabrication d'autres produits minéraux non métalliques n.c.a.";"327999";"Miscellaneous nonmetallic mineral products";"p";3
"23.99Z";"Fabrication d'autres produits minéraux non métalliques n.c.a.";"335991";"Carbon and graphite product manufacturing";"p";3
"24.10Z";"Sidérurgie";"331110";"Iron and steel mills and ferroalloy manufacturing";"";1
"24.20Z";"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier";"331200";"Steel product manufacturing from purchased steel";"";2
"24.31Z";"Étirage à froid de barres";"331200";"Steel product manufacturing from purchased steel";"";2
"24.32Z";"Laminage à froid de feuillards";"331200";"Steel product manufacturing from purchased steel";"";2
"24.33Z";"Profilage à froid par formage ou pliage";"331200";"Steel product manufacturing from purchased steel";"p";2
"24.33Z";"Profilage à froid par formage ou pliage";"332114";"Custom roll forming";"p";2
"24.34Z";"Tréfilage à froid";"331200";"Steel product manufacturing from purchased steel";"";2
"24.41Z";"Production de métaux précieux";"331410";"Nonferrous metal (except aluminum) smelting and refining";"";3
"24.42Z";"Métallurgie de l'aluminium";"331313";"Alumina refining and primary aluminum production";"p";2
"24.42Z";"Métallurgie de l'aluminium";"33131B";"Secondary aluminum";"p";2
"24.43Z";"Métallurgie du plomb, du zinc ou de l'étain";"331410";"Nonferrous metal (except aluminum) smelting and refining";"p";3
"24.43Z";"Métallurgie du plomb, du zinc ou de l'étain";"331490";"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying";"p";3
"24.44Z";"Métallurgie du cuivre";"331410";"Nonferrous metal (except aluminum) smelting and refining";"p";2
"24.44Z";"Métallurgie du cuivre";"331420";"Copper rolling, drawing, extruding and alloying";"p";2
"24.45Z";"Métallurgie des autres métaux non ferreux";"331410";"Nonferrous metal (except aluminum) smelting and refining";"p";3
"24.45Z";"Métallurgie des autres métaux non ferreux";"331490";"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying";"p";3
