"eeio_model","country","code_ape_a732","aggregate","fpt","unit","year","accuracy_mapping_a732"
"EEIO_UK","FR","02.10Z","PRD",88,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.20Z","FD",120,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.20Z","GVA",109,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.20Z","IC",71,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.20Z","PRD",88,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.30Z","FD",120,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.30Z","GVA",109,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.30Z","IC",71,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.30Z","PRD",88,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.40Z","FD",120,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.40Z","GVA",109,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.40Z","IC",71,"GCO2E_EUR",2022,4
"EEIO_UK","FR","02.40Z","PRD",88,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.11Z","FD",579,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.11Z","GVA",1138,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.11Z","IC",127,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.11Z","PRD",458,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.12Z","FD",579,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.12Z","GVA",1138,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.12Z","IC",127,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.12Z","PRD",458,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.21Z","FD",579,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.21Z","GVA",1138,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.21Z","IC",127,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.21Z","PRD",458,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.22Z","FD",579,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.22Z","GVA",1138,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.22Z","IC",127,"GCO2E_EUR",2022,4
"EEIO_UK","FR","03.22Z","PRD",458,"GCO2E_EUR",2022,4
"EEIO_UK","FR","05.10Z","FD",10053,"GCO2E_EUR",2022,2
"EEIO_UK","FR","05.10Z","GVA",111665,"GCO2E_EUR",2022,2
"EEIO_UK","FR","05.10Z","IC",81,"GCO2E_EUR",2022,2
"EEIO_UK","FR","05.10Z","PRD",9380,"GCO2E_EUR",2022,2
"EEIO_UK","FR","05.20Z","FD",10053,"GCO2E_EUR",2022,2
"EEIO_UK","FR","05.20Z","GVA",111665,"GCO2E_EUR",2022,2
"EEIO_UK","FR","05.20Z","IC",81,"GCO2E_EUR",2022,2
"EEIO_UK","FR","05.20Z","PRD",9380,"GCO2E_EUR",2022,2
"EEIO_UK","FR","06.10Z","FD",385,"GCO2E_EUR",2022,3
"EEIO_UK","FR","06.10Z","GVA",483,"GCO2E_EUR",2022,3
"EEIO_UK","FR","06.10Z","IC",58,"GCO2E_EUR",2022,3
"EEIO_UK","FR","06.10Z","PRD",369,"GCO2E_EUR",2022,3
"EEIO_UK","FR","06.20Z","FD",385,"GCO2E_EUR",2022,3
"EEIO_UK","FR","06.20Z","GVA",483,"GCO2E_EUR",2022,3
