"year","code_ape_a732","aggregate","fpt","accuracy_fpt","unit","libelle_ape_a732"
"2022","46.63Z","GVA",89,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil"
"2022","46.64Z","PRD",108,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement"
"2022","46.64Z","GVA",89,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement"
"2022","46.64Z","IC",127,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement"
"2022","46.65Z","GVA",79,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de mobilier de bureau"
"2022","46.65Z","PRD",102,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de mobilier de bureau"
"2022","46.65Z","IC",127,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de mobilier de bureau"
"2022","46.66Z","GVA",73,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau"
"2022","46.66Z","IC",125,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau"
"2022","46.66Z","PRD",97,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau"
"2022","46.69A","PRD",100,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de matériel électrique"
"2022","46.69A","GVA",77,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de matériel électrique"
"2022","46.69A","IC",127,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de matériel électrique"
"2022","46.69B","IC",127,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers"
"2022","46.69B","GVA",89,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers"
"2022","46.69B","PRD",108,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers"
"2022","46.69C","PRD",108,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les serv…"
"2022","46.69C","GVA",89,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les serv…"
"2022","46.69C","IC",127,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les serv…"
"2022","46.71Z","IC",110,2.9,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de combustibles et de produits annexes"
"2022","46.71Z","PRD",103,2.9,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de combustibles et de produits annexes"
"2022","46.71Z","GVA",90,2.9,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de combustibles et de produits annexes"
"2022","46.72Z","GVA",79,3.7,"GCO2E_EUR","Commerce de gros (commerce interentreprises) de minerais et métaux"
