"code_naf";"code_nafa";"libelle_nafa"
"2451Z";"24.51Z-Z";"Fonderie de fonte"
"2452Z";"24.52Z-Z";"Fonderie d'acier"
"2453Z";"24.53Z-Z";"Fonderie de métaux légers"
"2454Z";"24.54Z-Z";"Fonderie d'autres métaux non ferreux"
"2511Z";"25.11Z-Z";"Fabrication de structures métalliques et de parties de structures"
"2512Z";"25.12Z-Z";"Fabrication de portes et fenêtres en métal"
"2521Z";"25.21Z-Z";"Fabrication de radiateurs et de chaudières pour le chauffage central"
"2529Z";"25.29Z-Z";"Fabrication d'autres réservoirs, citernes et conteneurs métalliques"
"2530Z";"25.30Z-A";"Fabrication de générateurs de vapeur"
"2530Z";"25.30Z-B";"Chaudronnerie nucléaire"
"2540Z";"25.40Z-Z";"Fabrication d'armes et de munitions"
"2550A";"25.50A-Z";"Forge, estampage, matriçage, métallurgie des poudres"
"2550B";"25.50B-Z";"Découpage, emboutissage"
"2561Z";"25.61Z-A";"Sérigraphie de type marquage"
"2561Z";"25.61Z-B";"Traitement et revêtement des métaux"
"2562A";"25.62A-Z";"Décolletage"
"2562B";"25.62B-Z";"Mécanique industrielle"
"2571Z";"25.71Z-Z";"Fabrication de coutellerie"
"2572Z";"25.72Z-Z";"Fabrication de serrures et de ferrures"
"2573A";"25.73A-Z";"Fabrication de moules et modèles ferrures"
"2573B";"25.73B-A";"Fabrication d'outillage à main"
"2573B";"25.73B-B";"Fabrication d'outillage mécanique"
"2591Z";"25.91Z-Z";"Fabrication de fûts et emballages métalliques similaires"
"2592Z";"25.92Z-Z";"Fabrication d'emballages métalliques légers"
"2593Z";"25.93Z-A";"Fabrication d'articles en fils métalliques et de chaînes"
"2593Z";"25.93Z-B";"Fabrication de ressorts"
"2594Z";"25.94Z-Z";"Fabrication de vis et de boulons"
"2599A";"25.99A-A";"Dinanderie"
"2599A";"25.99A-B";"Autres fabrications d'articles de ménage"
"2599B";"25.99B-A";"Fabrication de petits articles métalliques"
"2599B";"25.99B-B";"Fabrication de coffres-forts"
"2599B";"25.99B-C";"Fabrication d'autres articles métalliques n.c.a."
"2611Z";"26.11Z-A";"Fabrication de composants électroniques (hors capteurs solaires)"
"2611Z";"26.11Z-B";"Fabrication de capteurs solaires photovoltaïques"
"2612Z";"26.12Z-Z";"Fabrication de cartes électroniques assemblées"
"2620Z";"26.20Z-Z";"Fabrication d'ordinateurs et d'autres équipements informatiques"
"2630Z";"26.30Z-Z";"Fabrication d'équipements de communication"
"2640Z";"26.40Z-Z";"Fabrication de produits électroniques grand public"
"2651A";"26.51A-Z";"Fabrication d'équipements d'aide à la navigation"
"2651B";"26.51B-Z";"Fabrication d'instrumentation scientifique et technique"
"2652Z";"26.52Z-Z";"Horlogerie"
"2660Z";"26.60Z-Z";"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques"
"2670Z";"26.70Z-A";"Fabrication de matériels photographiques et cinématographiques"
"2670Z";"26.70Z-B";"Fabrication d'instruments d'optique"
"2680Z";"26.80Z-Z";"Fabrication de supports magnétiques et optiques"
"2711Z";"27.11Z-A";"Fabrication de moteurs électriques"
"2711Z";"27.11Z-B";"Fabrication de transformateurs électriques"
"2711Z";"27.11Z-C";"Fabrication de groupes électrogènes"
"2712Z";"27.12Z-Z";"Fabrication de matériel de distribution et de commande électrique"
"2720Z";"27.20Z-Z";"Fabrication de piles et d'accumulateurs électriques"
"2731Z";"27.31Z-Z";"Fabrication de câbles de fibres optiques"
"2732Z";"27.32Z-Z";"Fabrication d'autres fils et câbles électroniques ou électrique"
"2733Z";"27.33Z-Z";"Fabrication de matériel d'installation électrique"
"2740Z";"27.40Z-A";"Fabrication de lampes"
"2740Z";"27.40Z-B";"Fabrication de luminaires"
"2740Z";"27.40Z-C";"Fabrication d'abat-jour"
"2740Z";"27.40Z-D";"Fabrication d'autres appareils d'éclairage"
"2751Z";"27.51Z-Z";"Fabrication d'appareils électroménagers"
"2752Z";"27.52Z-Z";"Fabrication d'appareils ménagers non électriques"
"2790Z";"27.90Z-Z";"Fabrication d'autres matériels électriques"
"2811Z";"28.11Z-A";"Fabrication de moteurs et turbines, à l'exception des moteurs d'avion et de véhicules"
"2811Z";"28.11Z-B";"Fabrication de turbines éoliennes"
"2812Z";"28.12Z-Z";"Fabrication d'équipements hydrauliques et pneumatiques"
"2813Z";"28.13Z-A";"Fabrication de pompes"
"2813Z";"28.13Z-B";"Fabrication de compresseurs"
"2814Z";"28.14Z-Z";"Fabrication d'autres articles de robinetterie"
"2815Z";"28.15Z-Z";"Fabrication d'engrenages et d'organes mécaniques de transmission"
"2821Z";"28.21Z-A";"Fabrication de fours et brûleurs non solaires"
"2821Z";"28.21Z-B";"Fabrication de chauffages solaires"
"2822Z";"28.22Z-A";"Fabrication d'ascenseurs, monte-charges et escaliers mécaniques"
"2822Z";"28.22Z-B";"Fabrication d'équipements de levage et de manutention"
"2823Z";"28.23Z-Z";"Fabrication de machines de bureau (à l'exception des ordinateurs et équipements périphériques)"
"2824Z";"28.24Z-Z";"Fabrication d'outillage portatif à moteur incorporé"
"2825Z";"28.25Z-A";"Fabrication de capteur solaire à effet de serre"
"2825Z";"28.25Z-B";"Fabrication d'équipements de réfrigération industrielle"
"2825Z";"28.25Z-C";"Fabrication d'équipements aérauliques"
"2829A";"28.29A-A";"Fabrication d'équipements d'emballage et de conditionnement"
"2829A";"28.29A-B";"Fabrication d'appareils de pesage"
"2829B";"28.29B-Z";"Fabrication d'autres machines d'usage général"
