PRODCOM Code	PRODCOM Label	Tonnage	CAS No. RefSub	Name RefSub	ENV C&L	Class ENV	HH C&L	Class HH
20146219	Acyclic ketones; without other oxygen function (excluding acetone, butanone (methyl ethyl ketone), 4-methylpentan-2-one (methyl isobutyl ketone))	 58 308 	110-43-0	Heptan-2-one	nc	0	302	E
20134135	Thiosulphates	 55 133 	7783-18-8	Ammonium thiosulphate	nc	0	nc	0
20157600	Nitrates of potassium	 44 326 	7757-79-1	Potassium nitrate	nc	0	nc	0
20132453	Diphosphorus pentaoxide	 42 261 	1314-56-3	Diphosphorus pentaoxide	nc	0	314 (1A)	C
20142439	Polyphenols (including salts; excluding 4,4 isopropylidenediphenol) and phenol-alcohols	 42 000 	123-31-9	Hydroquinone	400, 410	A	351	B
20143215	Ethyl acetate	 41 605 	141-78-6	Ethyl acetate	nc	0	319	E
20146239	Cyclanic, cyclenic or cycloterpenic ketones without other oxygen function (excluding camphor, cyclohexanone and methylcyclohexanones, ionones and methylionones)	 40 000 	78-59-1	3,5,5-trimethylcyclohex-2-enone	nc	0	351	B
20145215	Tetrahydrofuran, 2-Furaldehyde, Furfuryl alcohol, Tetrahydrofurfuryl alcohol and Piperonal	 39 000 	109-99-9	Tetrahydrofuran	nc	0	351	B
20144235	Diethanolamine and its salts	 38 453 	111-42-2	2,2'-iminodiethanol	nc	0	318	D
20136230	Borates; peroxoborates (perborates)	 36 845 	1330-43-4	Disodium tetraborate, anhydrous	nc	0	360	A
20133170	Bromides and bromide oxides; iodides and iodide oxides	 31 937 	7789-41-5	Calcium bromide	nc	0	318	D
20146215	4-Methylpentan-2-one (methyl isobutyl ketone)	 31 726 	108-10-1	4-methylpentan-2-one	nc	0	335, 332	E
20121975	Antimony oxides	 30 739 	1309-64-4	Diantimony trioxide	412	C	351	B
20141325	Carbon tetrachloride	 30 127 	56-23-5	Carbon tetrachloride	412, 420	C	351	B
20152030	Ammonium chloride	 30 000 	12125-02-9	Ammonium chloride	nc	0	318	D
20144153	Aniline derivatives and their salts	 28 465 	95-53-4	o-Toluidine	400, 411	B	350	A
20142375	Aromatic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives	 27 987 	100-51-6	Benzyl alcohol	nc	0	nc	0
20143365	Benzoyl peroxide and benzoyl chloride	 26 916 	98-88-4	Benzoyl chloride	nc	0	317	B
20144330	Imides and their derivatives, and salts thereof (excluding saccharin and its salts)	 26 603 	941-69-5	N-phenylmaleimide	400	E	317	B
